Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
01/09/2022 05:21,22828,804AA9060,127142,80AA721A0,24.42,US Dollar,24.42,US Dollar,ACH,0
07/09/2022 15:08,70,1004286A8,214100,80BCDB8B0,56.98,Euro,56.98,Euro,Credit Card,1
13/09/2022 11:19,21611,8051B3BF0,17400,809BB6E70,16269.41,US Dollar,16269.41,US Dollar,ACH,1
01/09/2022 05:00,1729,80C115990,4242,80D803BD0,1790713.19,US Dollar,1790713.19,US Dollar,Cheque,0
06/09/2022 16:52,70,100428A51,55188,814596F01,0.015667,Bitcoin,0.015667,Bitcoin,Bitcoin,1
01/09/2022 19:48,5,80769DBC0,5,80771B400,102.2,UK Pound,102.2,UK Pound,Credit Card,0
01/09/2022 00:21,70,100428660,1124,800825340,389769.39,US Dollar,389769.39,US Dollar,Cheque,1
10/09/2022 15:18,1457,80159D2C0,1688,80159D540,3406.96,US Dollar,3406.96,US Dollar,ACH,1
03/09/2022 05:05,18324,8137FE700,44345,8137FF420,1737.91,US Dollar,1737.91,US Dollar,ACH,1
01/09/2022 05:02,12719,801246A30,1412,803EC0C30,485.49,US Dollar,485.49,US Dollar,Credit Card,0
01/09/2022 05:28,23842,8031B4410,23842,8031B4410,14170.7,US Dollar,14170.7,US Dollar,Reinvestment,0
01/09/2022 05:13,28771,80984B580,28771,80984B580,9.51,US Dollar,9.51,US Dollar,Reinvestment,0
01/09/2022 05:10,17732,80663B0F0,6129,803E2B560,8383.53,US Dollar,8383.53,US Dollar,Cheque,0
09/09/2022 08:07,5328,8028C0B00,1502,802949330,1975.18,Euro,1975.18,Euro,ACH,1
10/09/2022 08:44,251264,812D1B280,148016,811FCA7B0,48868.46,Saudi Riyal,48868.46,Saudi Riyal,ACH,1
09/09/2022 13:57,148350,811FFF630,50528,812D0C600,31405.92,Saudi Riyal,31405.92,Saudi Riyal,ACH,1
05/09/2022 18:45,234331,80CDAB750,222664,80D7EC5F0,5602.85,US Dollar,5602.85,US Dollar,ACH,1
01/09/2022 00:17,10,800189BC0,10,800189BC0,23.6,US Dollar,23.6,US Dollar,Reinvestment,0
01/09/2022 05:03,122916,809C5AE00,122916,809C5AE00,140357.38,US Dollar,140357.38,US Dollar,Reinvestment,0
14/09/2022 00:40,4726,802E2AD70,25665,809682F70,5116.21,Canadian Dollar,5116.21,Canadian Dollar,ACH,1
04/09/2022 02:13,117304,806EAD220,17491,806EAD270,60053.08,Ruble,60053.08,Ruble,ACH,1
01/09/2022 05:00,1601,80266BE80,12735,806756C50,600.87,US Dollar,600.87,US Dollar,Cheque,0
01/09/2022 05:02,213952,806382860,213952,806382860,489566.22,US Dollar,489566.22,US Dollar,Reinvestment,0
04/09/2022 06:27,11056,800A07D80,23,800A07FA0,1051.38,Euro,1051.38,Euro,ACH,1
09/09/2022 23:00,115359,806E9B160,4403,806E9B2A0,2348.67,US Dollar,2348.67,US Dollar,ACH,1
05/09/2022 11:20,19329,8048E30F0,12,8010D4440,17498.02,US Dollar,17498.02,US Dollar,ACH,1
01/09/2022 05:18,10,8003A69A0,110836,8066CD9F0,31793.4,US Dollar,31793.4,US Dollar,Cheque,0
10/09/2022 16:08,13157,8053C0C10,4726,802E2AD70,4296.84,US Dollar,4296.84,US Dollar,ACH,1
01/09/2022 05:12,11813,800CFC230,111443,809C89320,593.86,US Dollar,593.86,US Dollar,Cheque,0
06/09/2022 02:29,1674,800906D70,410,80098DC70,2423.83,Euro,2423.83,Euro,ACH,1
01/09/2022 05:29,22736,80BB3EAF0,22736,80BB3EAF0,193038.61,US Dollar,193038.61,US Dollar,Reinvestment,0
01/09/2022 05:07,70,100428660,11974,80365D680,121.24,US Dollar,121.24,US Dollar,Credit Card,0
07/09/2022 08:30,13067,80B76EEA0,235843,80D754910,32597.82,Brazil Real,32597.82,Brazil Real,ACH,1
01/09/2022 00:29,10,8001758B0,10,8001758B0,11.9,US Dollar,11.9,US Dollar,Reinvestment,0
01/09/2022 00:00,220,8001A7890,220,8001A7890,21.53,US Dollar,21.53,US Dollar,Reinvestment,0
11/09/2022 11:56,19318,80AF1F630,27755,80A2DF610,26886.58,Australian Dollar,26886.58,Australian Dollar,ACH,1
04/09/2022 00:45,1522,8012F9500,23,8102CA2C0,11619.65,Euro,11619.65,Euro,ACH,1
06/09/2022 09:27,1068,80348E920,3242,801A06BB0,6114.24,US Dollar,6114.24,US Dollar,ACH,1
09/09/2022 14:13,15,804572930,29467,804572A20,85785.73,Yen,85785.73,Yen,ACH,1
08/09/2022 17:38,1729,801485510,21749,80154AAF0,11229.81,Euro,11229.81,Euro,ACH,1
01/09/2022 05:29,15695,80D491CF0,15695,80D491CF0,109532.45,US Dollar,109532.45,US Dollar,Reinvestment,0
01/09/2022 05:06,15625,806A20E70,18549,80CEFAE40,5739.22,US Dollar,5739.22,US Dollar,Credit Card,0
07/09/2022 16:34,27288,808A51FF0,18428,808A53B60,3038.97,Euro,3038.97,Euro,ACH,1
11/09/2022 05:43,21611,8051B3BF0,27995,80A4855B0,6523.93,Australian Dollar,6523.93,Australian Dollar,ACH,1
01/09/2022 05:07,5394,802B92740,1412,805BBDAA0,8957.13,US Dollar,8957.13,US Dollar,Cheque,0
06/09/2022 23:53,12979,806D378D0,15730,806D37B00,27506.37,US Dollar,27506.37,US Dollar,ACH,1
01/09/2022 05:18,14325,8034FE910,14325,8034FE910,2270.02,US Dollar,2270.02,US Dollar,Reinvestment,0
01/09/2022 05:18,21550,80DD64540,21550,80DD64540,4.31,US Dollar,4.31,US Dollar,Reinvestment,0
01/09/2022 00:03,3242,801DC7400,3242,801DC7400,1266.68,US Dollar,1266.68,US Dollar,Reinvestment,0
04/09/2022 19:20,14433,80D4F8460,8771,80C6F48A0,2041.64,US Dollar,2041.64,US Dollar,ACH,1
04/09/2022 16:59,5,80769F1A0,11474,800BFCD30,16831.49,US Dollar,16831.49,US Dollar,ACH,1
10/09/2022 11:43,410,80029BA40,410,8002438B0,569.91,Euro,569.91,Euro,ACH,1
01/09/2022 05:19,31188,8047F1130,31188,8047F1130,569.86,US Dollar,569.86,US Dollar,Reinvestment,0
03/09/2022 12:01,43049,80FDAF410,142836,80FDC1FC0,4107.33,Shekel,4107.33,Shekel,ACH,1
02/09/2022 11:18,14077,813A090C0,17753,813A09110,3285.04,US Dollar,3285.04,US Dollar,ACH,1
04/09/2022 11:51,16788,803520BA0,135981,80F984C70,2053.1,US Dollar,2053.1,US Dollar,ACH,1
01/09/2022 05:19,15730,805DA4C70,15730,805DA4C70,13.85,US Dollar,13.85,US Dollar,Reinvestment,0
01/09/2022 05:05,2053,80152D5A0,11899,8055767F0,202.45,US Dollar,202.45,US Dollar,Credit Card,0
02/09/2022 12:04,23673,81207D280,19318,8106B1750,76331.72,Yuan,76331.72,Yuan,ACH,1
01/09/2022 19:57,71,804AE9B50,14757,805D1C810,4447.08,Rupee,4447.08,Rupee,Wire,0
01/09/2022 23:09,70,1004289C0,44866,810A88910,7249.04,Shekel,7249.04,Shekel,Credit Card,1
08/09/2022 17:56,19023,805067660,16586,805B50FB0,7447.35,US Dollar,7447.35,US Dollar,ACH,1
01/09/2022 00:21,10,800171EA0,10,800171EA0,14.24,US Dollar,14.24,US Dollar,Reinvestment,0
01/09/2022 01:57,48309,81239C5C0,32564,80C50EE70,4986.94,Mexican Peso,4986.94,Mexican Peso,ACH,1
09/09/2022 17:26,13067,809888C90,29788,80B92D990,195643766.3,Yuan,195643766.3,Yuan,ACH,1
13/09/2022 05:51,4726,802E2AD70,122342,80AE61F10,14316.57,Euro,14316.57,Euro,ACH,1
08/09/2022 05:21,13554,801636360,13265,801636530,400.91,Euro,400.91,Euro,ACH,1
01/09/2022 00:11,10,80016DA30,10,80016DA30,20.93,US Dollar,20.93,US Dollar,Reinvestment,0
05/09/2022 18:42,148350,811FFF630,148350,812D0C3C0,48308.7,Saudi Riyal,48308.7,Saudi Riyal,ACH,1
10/09/2022 11:53,1522,8002AE7E0,22,8001AE930,13839.77,Euro,13839.77,Euro,ACH,1
01/09/2022 19:33,28,8071F6E70,28,8071F6E70,4224588.53,Ruble,4224588.53,Ruble,Reinvestment,0
01/09/2022 00:03,1467,8013C4030,20,80BC62F10,58702.1,Yuan,58702.1,Yuan,ACH,1
01/09/2022 05:02,21575,802DA1A70,3051,8071992D0,1330.76,US Dollar,1330.76,US Dollar,Cheque,0
01/09/2022 19:31,116425,80629A770,118190,806D914F0,36149519.2,Ruble,36149519.2,Ruble,Cheque,0
01/09/2022 19:30,10,80627A420,17120,80741A000,120055.04,Ruble,120055.04,Ruble,Credit Card,0
01/09/2022 05:13,21174,80243B2C0,21174,80243B2C0,21.29,US Dollar,21.29,US Dollar,Reinvestment,0
01/09/2022 00:25,1,8001740A0,1,8001740A0,312.45,US Dollar,312.45,US Dollar,Reinvestment,0
01/09/2022 05:10,11405,8033AA1B0,213952,8053298A0,6756.22,US Dollar,6756.22,US Dollar,Cash,0
01/09/2022 05:23,16163,802C1CE80,7478,805193430,4405.96,US Dollar,4405.96,US Dollar,Credit Card,0
01/09/2022 05:20,513,80057CE70,16136,8062E28C0,2185.25,US Dollar,2185.25,US Dollar,Cheque,0
01/09/2022 05:03,10344,80BACDC20,214621,80E2F91B0,16931.24,US Dollar,16931.24,US Dollar,Cheque,0
06/09/2022 14:06,12,80226C7A0,12,8010D4440,5162.15,US Dollar,5162.15,US Dollar,ACH,1
01/09/2022 19:45,287,806130860,16678,8062773A0,23017.58,Ruble,23017.58,Ruble,Cheque,0
01/09/2022 05:10,11471,80112A2A0,8798,807B7C450,517.52,US Dollar,517.52,US Dollar,Credit Card,0
03/09/2022 12:07,20,8025D0DB0,12,8025D1420,3384.64,Euro,3384.64,Euro,ACH,1
14/09/2022 17:37,4726,802E2AD70,1490,800325390,3509.57,Euro,3509.57,Euro,ACH,1
01/09/2022 19:30,219205,80704C1E0,219205,80704C1E0,499.11,Ruble,499.11,Ruble,Reinvestment,0
01/09/2022 05:12,70,100428660,10232,8084EB510,380.09,US Dollar,380.09,US Dollar,Cash,0
01/09/2022 19:48,211,800097520,5,8076F4E50,1462520.67,UK Pound,1462520.67,UK Pound,Wire,0
01/09/2022 19:36,26,80836B0A0,222773,808471DB0,467.57,UK Pound,467.57,UK Pound,Cash,0
10/09/2022 23:53,3,804FAA470,212789,804FAD580,3564699.78,Rupee,3564699.78,Rupee,ACH,1
09/09/2022 10:39,26818,80355C180,3881,8035630F0,6638.36,Euro,6638.36,Euro,ACH,1
01/09/2022 19:36,7,806251940,217824,806B866C0,322868.28,Ruble,322868.28,Ruble,Credit Card,0
01/09/2022 19:48,14381,805F5CDC0,14381,805F5CDC0,33154.66,Rupee,33154.66,Rupee,Reinvestment,0
05/09/2022 14:51,1490,8003DF900,8354,809C2F340,9314.01,US Dollar,9314.01,US Dollar,ACH,1
02/09/2022 09:28,21918,80DC9CE70,210829,80DCA1F70,32224.6,Euro,32224.6,Euro,Cheque,1
01/09/2022 05:15,17425,80333FD60,5394,80D314270,604.42,US Dollar,604.42,US Dollar,Cheque,0
06/09/2022 11:14,70,100428660,1241,800EEA500,110.99,US Dollar,110.99,US Dollar,Credit Card,1
09/09/2022 16:34,19,80911C350,29685,80F576BB0,3632.19,US Dollar,3632.19,US Dollar,ACH,1
01/09/2022 19:33,9,80008E7B0,16792,806139290,23113772.86,Ruble,23113772.86,Ruble,Cheque,0
10/09/2022 01:49,13154,805D29990,112931,805D2D520,176847.02,Rupee,176847.02,Rupee,ACH,1
09/09/2022 12:15,11,8002DBAE0,21745,801E11270,12481.21,Euro,12481.21,Euro,ACH,1
01/09/2022 00:03,12,8001F1B20,12,8001F1B20,318734.77,US Dollar,318734.77,US Dollar,Reinvestment,0
05/09/2022 20:45,70,1004286A8,410,8075D0600,74.34,Euro,74.34,Euro,Cheque,1
01/09/2022 05:09,25981,8033149C0,3698,8044C9790,506.87,US Dollar,506.87,US Dollar,Credit Card,0
07/09/2022 17:31,2991,802748380,21550,80AC30BC0,3000.43,US Dollar,3000.43,US Dollar,ACH,1
01/09/2022 00:10,908,8018867C0,222363,80D454CA0,2.22,US Dollar,2.22,US Dollar,Credit Card,0
08/09/2022 18:36,18230,80FEFC340,1665,8005DCD00,7594.5,US Dollar,7594.5,US Dollar,ACH,1
07/09/2022 05:40,26302,809DACA80,116,80DC085E0,519.18,Swiss Franc,519.18,Swiss Franc,ACH,1
01/09/2022 19:38,220572,8082C7C60,220572,8082C7C60,18.42,UK Pound,18.42,UK Pound,Reinvestment,0
10/09/2022 12:19,147241,812A129E0,15085,81121FAB0,12843.25,US Dollar,12843.25,US Dollar,ACH,1
01/09/2022 05:04,2053,803FF90F0,22345,80758D8B0,23120.83,US Dollar,23120.83,US Dollar,Credit Card,0
01/09/2022 00:26,3431,800267810,3431,800267810,2284.4,US Dollar,2284.4,US Dollar,Reinvestment,0
05/09/2022 08:59,1,80044E450,1665,80054CAB0,22837.17,US Dollar,22837.17,US Dollar,ACH,1
01/09/2022 05:03,70,100428660,23537,80D629090,562.84,US Dollar,562.84,US Dollar,Cheque,0
02/09/2022 16:05,124331,8100B34B0,2053,80C27C850,6216.58,US Dollar,6216.58,US Dollar,ACH,1
01/09/2022 05:24,19729,806418020,2843,80A06A580,164.7,US Dollar,164.7,US Dollar,Cheque,0
01/09/2022 05:26,11474,800B03330,27637,8030395B0,445.59,US Dollar,445.59,US Dollar,Cash,0
01/09/2022 05:06,220,800CC9D80,213952,808D34900,29328.65,US Dollar,29328.65,US Dollar,Cheque,0
01/09/2022 05:09,1467,800442BE0,17748,80A04AE70,50.27,US Dollar,50.27,US Dollar,Credit Card,0
01/09/2022 05:12,3149,80B897A80,3149,80B897A80,36582.94,US Dollar,36582.94,US Dollar,Reinvestment,0
01/09/2022 00:18,12,8001A37B0,12,8001A37B0,665644.14,US Dollar,665644.14,US Dollar,Reinvestment,0
01/09/2022 05:10,4503,802CCEFE0,23885,802CD0D40,3721.4,US Dollar,3721.4,US Dollar,ACH,0
10/09/2022 22:17,2947,8019EF7D0,2991,8019EF820,3128.84,US Dollar,3128.84,US Dollar,ACH,1
01/09/2022 00:11,1292,800213AD0,220,80025CF70,7612.85,US Dollar,7612.85,US Dollar,Credit Card,0
13/09/2022 10:35,50202,812D129C0,222,812D127D0,38546.44,Saudi Riyal,38546.44,Saudi Riyal,ACH,1
01/09/2022 05:17,12893,807588250,22732,80B820070,860.6,US Dollar,860.6,US Dollar,Cheque,0
01/09/2022 05:23,16333,8037B2E80,8798,803ADF000,27.84,US Dollar,27.84,US Dollar,ACH,0
01/09/2022 05:08,14099,8024AB4C0,11157,803494940,2379.61,US Dollar,2379.61,US Dollar,Cheque,0
01/09/2022 19:38,14766,805D96240,6,805DADE00,685.05,Rupee,685.05,Rupee,Cheque,0
02/09/2022 12:00,21745,800A75B90,1,80162B4B0,7687.95,US Dollar,7687.95,US Dollar,ACH,1
01/09/2022 19:34,115803,805E59570,115803,805E59570,589.89,Rupee,589.89,Rupee,Reinvestment,0
04/09/2022 11:33,17649,80ED3C650,21745,8018DB540,7411.44,Euro,7411.44,Euro,ACH,1
01/09/2022 00:03,1,800059C00,1,800059C00,212976.7,US Dollar,212976.7,US Dollar,Reinvestment,0
07/09/2022 04:19,55653,814879A41,55653,814879C71,0.040213,Bitcoin,0.040213,Bitcoin,Bitcoin,1
07/09/2022 10:20,214,80C5E7200,1132,80C5E72A0,3583.09,Mexican Peso,3583.09,Mexican Peso,ACH,1
01/09/2022 05:13,1457,8030DC500,225263,80CD079E0,160.7,US Dollar,160.7,US Dollar,Credit Card,0
01/09/2022 05:12,315767,80BF69470,115700,80BF738C0,0.01,US Dollar,0.01,US Dollar,Cheque,0
01/09/2022 05:17,70,100428660,220,807801950,2107.67,US Dollar,2107.67,US Dollar,Cheque,0
01/09/2022 05:12,4503,8086C1DC0,14433,8086C39B0,922,US Dollar,922,US Dollar,Cheque,0
08/09/2022 02:31,70,100428A08,48308,811DC01A0,994.58,Saudi Riyal,994.58,Saudi Riyal,Cheque,1
03/09/2022 08:11,48211,811C2D390,118,811C2D3E0,90481.06,Saudi Riyal,90481.06,Saudi Riyal,ACH,1
01/09/2022 05:16,26,8076C5A70,26,8076C5A70,181.15,US Dollar,140.24,UK Pound,ACH,0
01/09/2022 00:27,1,80005B9B0,1,80005B9B0,38143.57,US Dollar,38143.57,US Dollar,Reinvestment,0
05/09/2022 08:27,211,808E44B10,11657,807A05580,2511131.1,Euro,2511131.1,Euro,ACH,1
01/09/2022 05:04,6156,8066AFDC0,6156,8066AFDC0,4.51,US Dollar,4.51,US Dollar,Reinvestment,0
06/09/2022 17:08,9679,80452D470,18196,80ABCC020,121339.01,Yuan,121339.01,Yuan,ACH,1
01/09/2022 00:19,10,800111330,10,800111330,13283.45,US Dollar,13283.45,US Dollar,Reinvestment,0
01/09/2022 05:21,70,100428660,1411,80781A410,23.74,US Dollar,23.74,US Dollar,Cheque,0
01/09/2022 05:09,111764,804E667D0,29404,8079F9B00,2169.14,US Dollar,2169.14,US Dollar,Cheque,0
01/09/2022 00:25,220,800269450,220,800269450,811.72,US Dollar,811.72,US Dollar,Reinvestment,0
01/09/2022 05:07,3149,80E0AB880,3149,80E0AB880,2965.96,US Dollar,2965.96,US Dollar,Reinvestment,0
01/09/2022 05:13,28693,80C0F8E70,28693,80C0F8E70,13.14,US Dollar,13.14,US Dollar,Reinvestment,0
01/09/2022 05:06,11107,802743530,2824,806A8A380,176.16,US Dollar,176.16,US Dollar,Cheque,0
09/09/2022 16:39,240304,80EADDDB0,19740,8047B9AD0,20453.38,Yuan,20453.38,Yuan,ACH,1
01/09/2022 05:10,21174,8006E6600,11107,808789A60,1681.9,US Dollar,1681.9,US Dollar,Credit Card,0
01/09/2022 05:22,19535,803B5D270,10232,80418D400,14.08,US Dollar,14.08,US Dollar,Cash,0
03/09/2022 02:02,11056,8007A6320,1502,8007A64B0,3989.09,Euro,3989.09,Euro,ACH,1
03/09/2022 18:13,113685,80DF654B0,26302,809DACA80,22969.99,Canadian Dollar,22969.99,Canadian Dollar,ACH,1
01/09/2022 19:35,17120,8065EA2A0,116904,80705E5E0,170291.83,Ruble,170291.83,Ruble,Cash,0
01/09/2022 19:37,221765,807FC1F70,212,808017D00,3455.7,UK Pound,3455.7,UK Pound,Cheque,0
01/09/2022 00:21,1,80011AA30,1292,8002C2DE0,602.04,US Dollar,602.04,US Dollar,Credit Card,0
08/09/2022 05:40,70,100428660,29317,810D0D150,11849.94,US Dollar,11849.94,US Dollar,Credit Card,1
01/09/2022 05:06,3420,801A8A180,236418,80DC88990,15092.58,US Dollar,15092.58,US Dollar,Cheque,0
06/09/2022 19:09,223,811EDA940,223,812D1A410,4626.94,Saudi Riyal,4626.94,Saudi Riyal,ACH,1
01/09/2022 05:14,26024,8027C33B0,21258,803240460,495.1,US Dollar,495.1,US Dollar,ACH,0
01/09/2022 05:01,1674,8085B1110,1674,8085B1110,64692.21,US Dollar,64692.21,US Dollar,Reinvestment,0
08/09/2022 13:03,221032,80FBC0EE0,212818,804BDD750,977541.16,Rupee,977541.16,Rupee,ACH,1
01/09/2022 05:28,4403,807557470,4403,807557470,2511.58,US Dollar,2511.58,US Dollar,Reinvestment,0
01/09/2022 05:14,18902,80CA78DE0,18902,80CA78DE0,12673.85,US Dollar,12673.85,US Dollar,Reinvestment,0
09/09/2022 14:21,2843,801F694E0,701,8004257C0,485.3,US Dollar,485.3,US Dollar,ACH,1
06/09/2022 19:22,4523,801BCE220,701,8013F0350,17842.65,US Dollar,17842.65,US Dollar,ACH,1
10/09/2022 11:09,21749,80154AAF0,1501,800C5D910,9612.33,Euro,9612.33,Euro,ACH,1
01/09/2022 05:17,34385,808A37A30,11318,808A379E0,2711.15,US Dollar,2711.15,US Dollar,Wire,0
12/09/2022 14:54,11157,80108E830,12,8006757B0,12682.48,Euro,12682.48,Euro,ACH,1
08/09/2022 19:26,232073,80BA3FAD0,221279,80BA3FB70,2560.23,Euro,2560.23,Euro,ACH,1
01/09/2022 19:41,120292,808139C10,120292,808139C10,13.86,UK Pound,13.86,UK Pound,Reinvestment,0
01/09/2022 05:28,5836,803169770,1292,80BB4A870,995.29,US Dollar,995.29,US Dollar,Credit Card,0
01/09/2022 19:55,116904,806A9F880,116904,806A9F880,203816.05,Ruble,203816.05,Ruble,Reinvestment,0
04/09/2022 11:17,238845,80F499130,6803,803FF3D90,4114.97,US Dollar,4114.97,US Dollar,ACH,1
01/09/2022 17:55,70,1004286A8,51159,814833AE0,152.72,Euro,152.72,Euro,Cash,1
01/09/2022 05:05,15747,8074DE470,15747,8074DE470,107.61,US Dollar,107.61,US Dollar,Reinvestment,0
01/09/2022 05:00,9679,803F1C490,223635,80DCBF430,2.35,US Dollar,2.35,US Dollar,Cheque,0
01/09/2022 05:18,2843,802F9F050,1674,806E90010,11567.17,US Dollar,11567.17,US Dollar,Cheque,0
